-2.0,0
-1.985,0
-1.97,0
-1.955,0
-1.94,0
-1.925,0
-1.91,0
-1.895,0
-1.88,0
-1.865,0
-1.85,0
-1.835,0
-1.82,0
-1.805,0
-1.79,0
-1.775,0
-1.76,0
-1.745,0
-1.73,0
-1.715,0
-1.7,0
-1.685,0
-1.67,0
-1.655,0
-1.64,0
-1.625,0
-1.61,0
-1.595,0
-1.58,0
-1.565,0
-1.55,0
-1.535,0
-1.52,0
-1.505,0
-1.49,0
-1.475,0
-1.46,0
-1.445,0
-1.43,0
-1.415,0
-1.4,0
-1.385,0
-1.37,0
-1.355,-0.03
-1.355,-0.015
-1.355,0
-1.355,0.015
-1.355,0.03
-1.34,-0.045
-1.34,-0.03
-1.34,-0.015
-1.34,0
-1.34,0.015
-1.34,0.03
-1.34,0.045
-1.325,-0.045
-1.325,-0.03
-1.325,-0.015
-1.325,0
-1.325,0.015
-1.325,0.03
-1.325,0.045
-1.31,-0.06
-1.31,-0.045
-1.31,-0.03
-1.31,-0.015
-1.31,0
-1.31,0.015
-1.31,0.03
-1.31,0.045
-1.31,0.06
-1.295,-0.06
-1.295,-0.045
-1.295,-0.03
-1.295,-0.015
-1.295,0
-1.295,0.015
-1.295,0.03
-1.295,0.045
-1.295,0.06
-1.28,-0.045
-1.28,-0.03
-1.28,-0.015
-1.28,0
-1.28,0.015
-1.28,0.03
-1.28,0.045
-1.265,-0.03
-1.265,-0.015
-1.265,0
-1.265,0.015
-1.265,0.03
-1.25,0
-1.235,-0.075
-1.235,-0.06
-1.235,-0.045
-1.235,-0.03
-1.235,-0.015
-1.235,0
-1.235,0.015
-1.235,0.03
-1.235,0.045
-1.235,0.06
-1.235,0.075
-1.22,-0.15
-1.22,-0.105
-1.22,-0.09
-1.22,-0.075
-1.22,-0.06
-1.22,-0.045
-1.22,-0.03
-1.22,-0.015
-1.22,0
-1.22,0.015
-1.22,0.03
-1.22,0.045
-1.22,0.06
-1.22,0.075
-1.22,0.09
-1.22,0.105
-1.22,0.15
-1.205,-0.15
-1.205,-0.135
-1.205,-0.12
-1.205,-0.105
-1.205,-0.09
-1.205,-0.075
-1.205,-0.06
-1.205,-0.045
-1.205,-0.03
-1.205,-0.015
-1.205,0
-1.205,0.015
-1.205,0.03
-1.205,0.045
-1.205,0.06
-1.205,0.075
-1.205,0.09
-1.205,0.105
-1.205,0.12
-1.205,0.135
-1.205,0.15
-1.19,-0.15
-1.19,-0.135
-1.19,-0.12
-1.19,-0.105
-1.19,-0.09
-1.19,-0.075
-1.19,-0.06
-1.19,-0.045
-1.19,-0.03
-1.19,-0.015
-1.19,0
-1.19,0.015
-1.19,0.03
-1.19,0.045
-1.19,0.06
-1.19,0.075
-1.19,0.09
-1.19,0.105
-1.19,0.12
-1.19,0.135
-1.19,0.15
-1.175,-0.165
-1.175,-0.15
-1.175,-0.135
-1.175,-0.12
-1.175,-0.105
-1.175,-0.09
-1.175,-0.075
-1.175,-0.06
-1.175,-0.045
-1.175,-0.03
-1.175,-0.015
-1.175,0
-1.175,0.015
-1.175,0.03
-1.175,0.045
-1.175,0.06
-1.175,0.075
-1.175,0.09
-1.175,0.105
-1.175,0.12
-1.175,0.135
-1.175,0.15
-1.175,0.165
-1.16,-0.24
-1.16,-0.225
-1.16,-0.18
-1.16,-0.165
-1.16,-0.15
-1.16,-0.135
-1.16,-0.12
-1.16,-0.105
-1.16,-0.09
-1.16,-0.075
-1.16,-0.06
-1.16,-0.045
-1.16,-0.03
-1.16,-0.015
-1.16,0
-1.16,0.015
-1.16,0.03
-1.16,0.045
-1.16,0.06
-1.16,0.075
-1.16,0.09
-1.16,0.105
-1.16,0.12
-1.16,0.135
-1.16,0.15
-1.16,0.165
-1.16,0.18
-1.16,0.225
-1.16,0.24
-1.145,-0.255
-1.145,-0.24
-1.145,-0.225
-1.145,-0.195
-1.145,-0.18
-1.145,-0.165
-1.145,-0.15
-1.145,-0.135
-1.145,-0.12
-1.145,-0.105
-1.145,-0.09
-1.145,-0.075
-1.145,-0.06
-1.145,-0.045
-1.145,-0.03
-1.145,-0.015
-1.145,0
-1.145,0.015
-1.145,0.03
-1.145,0.045
-1.145,0.06
-1.145,0.075
-1.145,0.09
-1.145,0.105
-1.145,0.12
-1.145,0.135
-1.145,0.15
-1.145,0.165
-1.145,0.18
-1.145,0.195
-1.145,0.225
-1.145,0.24
-1.145,0.255
-1.13,-0.255
-1.13,-0.24
-1.13,-0.225
-1.13,-0.21
-1.13,-0.195
-1.13,-0.18
-1.13,-0.165
-1.13,-0.15
-1.13,-0.135
-1.13,-0.12
-1.13,-0.105
-1.13,-0.09
-1.13,-0.075
-1.13,-0.06
-1.13,-0.045
-1.13,-0.03
-1.13,-0.015
-1.13,0
-1.13,0.015
-1.13,0.03
-1.13,0.045
-1.13,0.06
-1.13,0.075
-1.13,0.09
-1.13,0.105
-1.13,0.12
-1.13,0.135
-1.13,0.15
-1.13,0.165
-1.13,0.18
-1.13,0.195
-1.13,0.21
-1.13,0.225
-1.13,0.24
-1.13,0.255
-1.115,-0.24
-1.115,-0.21
-1.115,-0.195
-1.115,-0.18
-1.115,-0.165
-1.115,-0.15
-1.115,-0.135
-1.115,-0.12
-1.115,-0.105
-1.115,-0.09
-1.115,-0.075
-1.115,-0.06
-1.115,-0.045
-1.115,-0.03
-1.115,-0.015
-1.115,0
-1.115,0.015
-1.115,0.03
-1.115,0.045
-1.115,0.06
-1.115,0.075
-1.115,0.09
-1.115,0.105
-1.115,0.12
-1.115,0.135
-1.115,0.15
-1.115,0.165
-1.115,0.18
-1.115,0.195
-1.115,0.21
-1.115,0.24
-1.1,-0.225
-1.1,-0.21
-1.1,-0.195
-1.1,-0.18
-1.1,-0.165
-1.1,-0.15
-1.1,-0.135
-1.1,-0.12
-1.1,-0.105
-1.1,-0.09
-1.1,-0.075
-1.1,-0.06
-1.1,-0.045
-1.1,-0.03
-1.1,-0.015
-1.1,0
-1.1,0.015
-1.1,0.03
-1.1,0.045
-1.1,0.06
-1.1,0.075
-1.1,0.09
-1.1,0.105
-1.1,0.12
-1.1,0.135
-1.1,0.15
-1.1,0.165
-1.1,0.18
-1.1,0.195
-1.1,0.21
-1.1,0.225
-1.085,-0.225
-1.085,-0.21
